# Dados DNS Gerados
# Total de domínios: 1000
# Formato: domínio -> ip1,ip2,ip3...

westseanview-online.gov -> 69.150.71.34,99.151.59.90
onto-society.edu -> 3.161.214.85,69.188.80.168
health-society.org -> 3.76.55.118
cloud-treat.com -> 50.173.160.135,37.107.183.131
center-share.biz -> 215.196.139.247
owner-code.com -> 14.23.122.119
gavin-adams.com -> 121.42.223.224
jacksonllc.com -> 62.253.165.84
westjohnathanbury.biz -> 191.221.157.17,140.131.220.176,20.85.238.35
association-fly.com -> 89.83.4.118,56.80.29.244,165.69.205.136
data-less.com -> 40.182.67.108
floresvalentine.com -> 103.65.185.67
appcost.org -> 195.70.204.6
society-film.gov -> 191.182.84.245,194.248.62.19
gasweb.edu -> 57.37.217.100,44.201.134.33
personcenter.com -> 198.174.15.181,129.184.254.82
hahnborough.com -> 25.82.149.211
data-theory.net -> 154.47.96.53
taylorport.com -> 114.119.94.228
center-senior.info -> 56.32.158.27,94.171.200.0,154.197.112.70
amy617.com -> 37.112.88.19
daniel731.com -> 138.165.74.48
newtonyafurt-local.info -> 195.83.142.21
style-ai.org -> 16.86.104.74,78.53.68.7
southneil-area.net -> 20.210.231.9
cuevaswebb.com -> 37.126.165.32,73.17.52.192
happen-ai.net -> 61.36.43.122,167.186.16.157
alvarezkim.org -> 148.105.3.74
westbradleyville.net -> 85.244.253.55,138.132.199.7
yang645.net -> 59.73.162.205
susanhall.com -> 43.206.14.208,99.117.2.232
code-individual.org -> 76.160.246.169,29.190.229.154
smithboroughregion.net -> 102.64.16.182,139.247.38.100
markmouthlocal.com -> 95.83.180.155,13.3.180.7
carrshire-region.biz -> 86.134.235.195,170.176.171.13
samanthashirecity.com -> 72.146.153.169,47.68.198.143,43.183.0.95
hourassociation.com -> 152.220.149.9
carlsonshire.info -> 43.227.99.123,21.139.35.181,3.245.100.184
institute-fight.net -> 84.34.20.52
association-thousand.com -> 17.183.46.245
stephaniefort-region.edu -> 88.146.138.148,203.7.245.178,63.120.111.215
robert-larsen.biz -> 18.165.60.222
other-ml.net -> 78.29.39.207
antonioburycity.org -> 5.88.125.242
cunninghamfort.com -> 4.231.219.42,145.37.23.130
ambertonlocal.com -> 190.31.172.206
office-society.org -> 118.205.111.1
lakemariabury-local.org -> 34.16.16.22,27.39.138.229,210.200.144.148
cloudleg.net -> 211.193.160.86
stand-foundation.org -> 163.91.169.53
matthewsbellandpage.info -> 138.159.113.95
christinaglover.biz -> 160.243.33.51
over-code.gov -> 49.253.76.6
westtiffany.info -> 49.28.38.18
ml-toward.gov -> 9.134.10.210
portkristi-region.com -> 216.223.213.154
michelle-martinez.net -> 215.253.91.33
center-child.org -> 143.215.239.211
burnsshire-region.com -> 154.130.169.245
hayesschultz.com -> 210.250.161.235
interesting-institute.com -> 12.115.156.199
runcenter.org -> 206.243.219.150,31.158.15.118
center-generation.com -> 133.246.8.110,190.171.157.197
webprove.com -> 150.237.31.6,168.203.161.106
foundation-discover.info -> 194.216.239.151
adamsport.biz -> 40.91.167.249,1.248.126.53
story-api.com -> 35.25.35.40,93.105.201.161
softadmit.net -> 74.28.102.230,16.5.137.132
harrisbergonline.com -> 217.168.225.218,108.98.98.59
penallc.info -> 74.151.246.134
southconniebury.org -> 18.235.26.143
scoreassociation.com -> 77.168.177.74
millershire.gov -> 119.30.254.114,85.253.30.109
mcneilgroup.com -> 158.146.164.11,88.132.55.189
behindai.org -> 179.71.21.90,87.134.33.112
uponfoundation.com -> 56.126.128.110
kiaramullins.com -> 73.36.129.49,64.138.217.160
southmichael.biz -> 100.166.192.116,222.40.2.52
trade-society.net -> 113.155.129.79,71.225.206.209,152.147.250.146
digital-have.com -> 203.52.32.211,163.246.238.217,124.86.69.75
energycyber.org -> 6.71.132.143,176.219.190.217
jamiehavenlocal.edu -> 99.34.78.91
debbieburyregion.com -> 19.155.152.152,113.34.221.123,8.49.109.45
peckanderson.net -> 221.119.182.205,43.14.171.55,178.85.242.252
ml-adult.com -> 128.225.253.211,120.81.144.190,220.188.54.30
william.fuller.com -> 14.165.156.4,57.190.233.199,73.197.132.48
millermiller.com -> 212.248.217.118,7.32.55.214
westhollybury.com -> 69.132.130.169
wilsonsalazar.com -> 75.61.200.80,72.200.19.253
smithcrawfordandreed.com -> 12.37.224.37
appcompare.net -> 49.51.111.247,179.199.30.226,176.240.124.135
matthew.patterson.edu -> 12.53.10.176,178.119.91.146
association-model.net -> 27.134.34.140,74.174.47.76,48.83.210.101
kerri.shannon.biz -> 135.97.160.50,112.10.133.71
another-web.com -> 208.100.169.247,119.140.89.7,41.154.252.186
harold642.org -> 90.214.242.93
society-door.com -> 58.163.242.178,218.60.232.156
joseph.miller.net -> 35.94.251.1,104.188.31.158
stephanie.jones.edu -> 25.8.168.104,185.241.60.118,61.59.84.81
westjamesshire-region.org -> 163.225.159.193
steven-vargas.org -> 22.64.230.135,183.216.20.80,110.143.130.6
foundation-agent.net -> 117.138.243.147
society-provide.org -> 170.9.211.57
smithsandoval.com -> 168.157.114.8,79.62.35.72,35.213.82.37
lakejoshua-local.com -> 78.208.114.80,221.55.194.231,151.214.232.149
low-foundation.info -> 193.43.120.84,136.139.125.169,153.61.13.53
vargasinc.net -> 20.46.195.38,116.45.4.213,168.201.49.23
jaclyn.moss.com -> 49.103.185.157
eastcenter.com -> 76.249.62.97,70.249.105.48
clearlycenter.com -> 92.197.179.153,29.2.38.156
herreraandsons.edu -> 30.211.188.60,120.245.149.61
believeinstitute.com -> 108.222.16.135
margaretterry.com -> 84.250.146.70,107.248.180.67,195.149.193.27
lakekentburgh-region.com -> 89.225.143.236
aitop.com -> 23.254.202.243,70.133.166.99
summercenter.biz -> 161.241.120.249,78.57.248.6
cloudcase.net -> 99.52.100.60
nathan738.com -> 144.144.132.120,210.102.75.134,68.32.79.81
orrgroup.com -> 161.120.190.150,218.156.14.134,93.128.240.219
jacksonplc.info -> 28.163.212.74,28.63.81.207
simmonsgomezandodonn.com -> 125.200.183.56,209.27.217.36,143.186.240.18
deborah.porter.com -> 223.84.56.172,81.231.217.138
foundation-identify.org -> 76.195.234.168,143.242.9.107,129.63.250.172
ml-idea.com -> 187.125.216.174,31.130.126.143
guytech.com -> 218.74.149.90
foundation-important.edu -> 124.26.176.64,46.4.109.70
anthonycochran.com -> 126.241.128.157
katiebury-area.edu -> 193.51.68.206
end-dev.biz -> 145.14.199.67,8.229.0.120
kathryn-gould.org -> 152.219.234.36,43.30.25.19,109.22.139.191
wolfesloanandjohnson.com -> 137.24.52.52
portvanessa.org -> 223.192.82.67,5.103.138.78
johnsonbrown.com -> 129.70.128.14,8.2.204.178
glass-association.gov -> 214.114.101.109,165.115.191.193,186.90.214.239
hernandez923.com -> 137.16.214.86
mathisllc.org -> 203.223.163.165
willismoutharea.com -> 40.187.159.193,193.223.173.54,167.203.146.63
range-foundation.org -> 54.214.58.210,114.206.61.130,50.217.94.243
care-dev.com -> 104.7.93.61
science-ml.com -> 201.144.255.246,168.16.148.120
guzmanplc.com -> 113.170.111.124,205.32.9.161,36.250.200.178
reedllc.com -> 105.107.107.246
santiagodanielandrog.com -> 77.107.119.162,113.21.175.250,38.234.9.241
northpaulchester-region.com -> 195.167.244.163
cloudmind.com -> 219.61.73.38,4.207.185.198,173.205.254.81
code-commercial.com -> 17.17.183.176,52.101.219.157
josegarcia.com -> 56.7.128.132
eugene-jones.com -> 204.190.173.171
groundsociety.net -> 158.229.40.211
johnsondunlapandmart.com -> 213.6.254.131,85.48.167.87
eastrobert-area.com -> 3.15.161.145
kennethvilleonline.org -> 95.107.178.82
class-tech.com -> 64.62.131.173,25.108.242.244,175.215.182.106
northanthonylocal.com -> 108.171.66.126,193.242.119.218
megan-parker.com -> 63.77.92.179
patricia446.com -> 152.205.62.138,99.13.51.34,60.135.149.6
another-center.net -> 123.184.112.78,122.38.3.212
eastkarenville-local.com -> 86.0.173.144
digital-system.edu -> 5.209.242.53
society-on.biz -> 88.198.88.166
association-tell.com -> 15.152.225.117
page-digital.net -> 223.61.138.103,57.68.121.134
newashleyhaven-local.com -> 162.91.242.19,92.189.17.42,106.172.180.251
developmentdigital.info -> 162.4.219.157
southchristianchesterloca.net -> 102.151.109.101
apithey.com -> 148.118.198.141
sloanjonesandhughes.edu -> 52.223.66.244,222.169.57.63,208.101.72.195
ml-stop.com -> 154.218.160.24
institute-budget.com -> 41.124.26.194
ai-our.org -> 134.105.190.3,211.59.80.76
stockdata.net -> 54.1.243.221
bakerfortarea.info -> 158.70.101.87
benjamin-hill.com -> 89.181.199.101,85.55.50.233
northjulie-region.biz -> 219.235.8.192,83.101.64.156
ramirezvasquez.com -> 134.73.49.145
eastkevinarea.org -> 186.68.141.160
existsociety.net -> 178.219.112.27,97.176.237.128
figueroahaven-local.biz -> 209.204.112.39,89.209.15.238
central-society.com -> 176.237.36.176,107.54.45.71,173.254.244.192
antonio-williams.com -> 44.190.54.234
digital-eye.com -> 61.181.193.88,9.251.98.26
responsibilitydigital.com -> 87.214.126.211,30.70.122.181,111.151.227.152
arnoldcooperandmonro.com -> 120.185.31.102
johnsonwilliams.org -> 169.155.110.202
holland179.com -> 145.56.170.82,129.72.137.174
app-treatment.org -> 176.72.228.108
mattercyber.net -> 213.138.220.25,128.138.171.118,116.227.41.180
ai-seem.com -> 195.25.252.214,56.24.44.122
melissastevens.org -> 116.213.150.22,153.106.242.127,128.120.97.246
annaport-local.com -> 38.235.47.67,26.194.213.239
society-factor.biz -> 145.184.123.144
ai-every.org -> 147.31.100.196
aicup.edu -> 107.216.70.252,220.238.95.211
association-recent.com -> 40.244.154.227
johnsonjimenezandphi.com -> 220.242.121.97
institute-important.com -> 182.19.200.247,46.59.50.211
knoxstad-region.com -> 170.185.123.173,62.33.70.31
david569.com -> 162.237.217.20
yourai.edu -> 149.123.0.146,142.57.102.201,51.167.72.250
codekitchen.edu -> 165.77.19.50,50.209.187.204,19.196.221.166
brownshire-region.org -> 132.142.204.115,22.57.179.237
cloudmonth.com -> 88.109.68.187
alyssa-gutierrez.com -> 212.211.45.85
ai-certain.com -> 199.175.114.109
benitezorozco.com -> 196.146.169.90,43.138.247.27
start-association.net -> 85.73.205.1,139.81.22.190
lawrence.brown.com -> 22.179.66.166,181.101.55.230,138.35.205.13
might-web.edu -> 161.104.158.11
mendezltd.net -> 29.186.147.146
reyestoncity.org -> 13.248.57.45,201.73.242.61
northerica.edu -> 143.236.183.209,117.130.116.232,38.146.197.129
gordonportcity.com -> 104.187.67.43,50.156.236.47
losecenter.org -> 186.207.139.168,20.72.0.199,63.95.22.105
karenburgh.biz -> 201.157.18.179,78.91.71.254,180.50.214.118
grossplc.biz -> 9.248.120.179,34.100.41.145,48.94.217.141
kelsey.dean.com -> 131.17.200.97,129.67.114.255
brandon780.com -> 19.244.125.163,7.203.144.78
sciencesociety.com -> 104.38.28.135,38.118.116.45
meyerdeanandhaynes.com -> 38.182.234.51,9.226.61.164
fearsociety.com -> 70.205.6.77
gonzalezgonzalez.net -> 121.157.6.213,58.57.114.51
foundation-find.com -> 111.241.17.163,223.97.153.91,32.44.220.3
alexander-davis.edu -> 95.159.102.134
northkimberlylocal.edu -> 70.123.139.14,215.101.170.65,25.121.3.130
marshallgarcia.com -> 104.161.144.147,169.92.55.7
suddenlytech.info -> 155.67.129.101
tech-single.com -> 66.239.216.205,72.219.116.93
elizabeth-jackson.com -> 60.3.131.191,202.137.95.217,210.249.117.11
foundation-hotel.com -> 162.237.8.125
daniel-ross.net -> 28.87.200.1,158.155.144.244,162.171.32.44
budgetml.net -> 67.192.220.205
devyes.org -> 170.106.51.196,62.228.37.11
suffertech.org -> 156.10.220.5,99.9.186.198,176.236.16.3
apitravel.com -> 136.92.168.42
knapprodriguez.net -> 34.241.53.238
atcenter.com -> 122.131.143.47,78.85.196.209,192.235.77.111
april.watts.com -> 155.179.199.180,143.232.175.120
reedfurt-local.com -> 104.223.128.184
michael422.org -> 15.130.53.29,169.42.87.232,95.119.41.4
allencordova.gov -> 78.64.210.217
schneiderpowellandyo.org -> 30.86.210.217
digitalbehavior.com -> 222.78.97.207,63.212.247.2
smith616.net -> 34.75.18.0
dunnpetersenandconne.edu -> 203.51.126.136,214.158.134.128
institute-real.org -> 149.208.142.32
himselfweb.net -> 173.200.137.74,171.83.240.161,3.228.125.39
jennifercox.com -> 19.30.52.60,183.24.141.103
